"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status"
"D","MedicalSimple","EXPLN_S3Prevents",1.30247858648319,3.67840261702219,"[1.778, 8.137]",1.77757938979193,8.13711956434743,0.000716769239713379,0.00286707695885352,"Stayed significant"
"D","MedicalSimple","combined_Medical_ExperienceTRUE",0.748282305662378,2.11336677896058,"[0.904, 5.581]",0.904498725017123,5.58123982343345,0.10249852837013,0.204997056740261,""
"D","MedicalSimple","combined_CS_ExperienceTRUE",0.193078840291578,1.21297842132182,"[0.478, 3.515]",0.477959248764607,3.51487622098697,0.699966459548086,1,""
"D","MedicalComplex","EXPLN_S1Hardware",0.112197595874056,1.11873389600851,"[0.441, 2.817]",0.440563206326117,2.81678124942518,0.810976549825961,1,""
"D","MedicalComplex","EXPLN_S1Trust",-0.180688464148042,0.83469535572326,"[0.343, 1.975]",0.342685532046879,1.97543504319331,0.683446662157374,1,""
"D","MedicalComplex","EXPLN_S2Untechnical",-0.472824456213802,0.623239467391278,"[0.295, 1.282]",0.294930250632222,1.28197167185436,0.204453904904389,0.817815619617556,""
"D","MedicalComplex","EXPLN_S3Prevents",1.03907807275905,2.82660988409234,"[1.367, 6.167]",1.36730889746889,6.16737415345863,0.0064410326167285,0.0184137616342941,"Stayed significant"
"D","MedicalComplex","combined_Medical_ExperienceTRUE",0.0100314138993039,1.01008189719679,"[0.448, 2.457]",0.448153907045701,2.45673197125688,0.981376856792942,0.981376856792942,""
"D","MedicalComplex","combined_CS_ExperienceTRUE",-0.7878103109497,0.454839663089182,"[0.214, 0.989]",0.214013126537488,0.989271736128539,0.0423393217987127,0.169357287194851,"Lost significance"
"D","IoTSimple","EXPLN_S1Hardware",-0.351186442020969,0.703852513936521,"[0.321, 1.521]",0.32087716762217,1.52139221643153,0.373891728722396,1,""
"D","IoTSimple","EXPLN_S1Trust",0.191577463344211,1.21115864990566,"[0.531, 2.799]",0.531337966357568,2.79892985733964,0.648879249333393,1,""
"D","IoTSimple","EXPLN_S2Untechnical",-0.077362008115774,0.925554734626732,"[0.465, 1.846]",0.46507335187436,1.84634176472639,0.825159763505226,1,""
"D","IoTSimple","EXPLN_S3Prevents",0.506617146536998,1.65966727666907,"[0.856, 3.268]",0.856459531155262,3.2678235774069,0.136296681246655,0.136296681246655,""
"D","IoTSimple","combined_IoT_ExperienceTRUE",-1.01589769825625,0.362077247782687,"[0.103, 0.981]",0.103172544958476,0.981234099761557,0.0698590219574987,0.139718043914997,""
"D","IoTSimple","combined_CS_ExperienceTRUE",-0.520379014262458,0.594295258899772,"[0.285, 1.279]",0.285150841281951,1.279452943153,0.17166213206488,0.51498639619464,""
"D","IoTComplex","EXPLN_S1Hardware",0.386102925800982,1.4712360911752,"[0.625, 3.531]",0.625348040388263,3.53075690103371,0.378156831079743,1,""
"D","IoTComplex","EXPLN_S1Trust",-0.213526758488283,0.807730546213029,"[0.361, 1.786]",0.361447370028555,1.78646214677758,0.59815409046579,1,""
"D","IoTComplex","EXPLN_S2Untechnical",-0.360359953058339,0.697425240535945,"[0.349, 1.375]",0.348770867226211,1.37479665886,0.300859201669026,0.902577605007079,""
"D","IoTComplex","EXPLN_S3Prevents",0.98624707232381,2.68115339262863,"[1.347, 5.571]",1.34730141227021,5.57138367782458,0.00613792054476469,0.0184137616342941,"Stayed significant"
"D","IoTComplex","combined_IoT_ExperienceTRUE",0.226606714825419,1.25433645898817,"[0.545, 2.726]",0.545436898031327,2.72615708910977,0.578026609863294,0.578026609863294,""
"D","IoTComplex","combined_CS_ExperienceTRUE",0.229835008530126,1.25839236879384,"[0.555, 3.145]",0.554631689667834,3.14522681204352,0.599391405329355,1,""
"E","MedicalSimple","EXPLN_S1Hardware",0.0299970758981916,1.03045152080396,"[0.407, 2.652]",0.406593147991972,2.65188790501175,0.949467480712994,1,""
"E","MedicalSimple","EXPLN_S1Trust",0.413716599624765,1.51242844335436,"[0.561, 4.365]",0.561239920797003,4.36468336078523,0.422650133201548,1,""
"E","MedicalSimple","EXPLN_S2Untechnical",0.489216265692466,1.63103741891864,"[0.723, 3.841]",0.722525113407648,3.84123223594111,0.24687348254141,0.987493930165642,""
"E","MedicalSimple","EXPLN_S3Prevents",-0.109279277106594,0.896480016189145,"[0.403, 1.981]",0.403489723736171,1.98072140508717,0.786011601291015,1,""
"E","MedicalSimple","combined_Medical_ExperienceTRUE",-0.181530160118884,0.833993091593371,"[0.352, 2.142]",0.351824422100078,2.14161455861014,0.690079595641016,1,""
"E","MedicalSimple","combined_CS_ExperienceTRUE",0.158941674100591,1.17226957100962,"[0.437, 3.738]",0.43737594039315,3.73800165571476,0.767311588860932,1,""
"E","MedicalComplex","EXPLN_S1Hardware",1.03657414233825,2.81954110317685,"[0.854, 11.002]",0.853701522809089,11.0021583938814,0.102962089117637,0.411848356470546,""
"E","MedicalComplex","EXPLN_S1Trust",0.364534225039484,1.43984320902679,"[0.519, 4.061]",0.519327191100705,4.06127093747211,0.480632371899782,1,""
"E","MedicalComplex","EXPLN_S2Untechnical",-0.12011759014415,0.886816149746835,"[0.346, 2.243]",0.345735164440951,2.24327087950142,0.798916085540284,1,""
"E","MedicalComplex","EXPLN_S3Prevents",-0.0412247898796769,0.959613394321669,"[0.381, 2.391]",0.381387343390144,2.39141717503617,0.92897858108982,1,""
"E","MedicalComplex","combined_Medical_ExperienceTRUE",0.265877849001934,1.30457569373079,"[0.446, 4.777]",0.446380339975367,4.77747701352637,0.652309996305041,1,""
"E","MedicalComplex","combined_CS_ExperienceTRUE",-0.074890726109865,0.927844870007545,"[0.338, 2.990]",0.337597667498852,2.98989999362288,0.89080216660851,1,""
"E","IoTSimple","EXPLN_S1Hardware",0.191867232217932,1.21150965683652,"[0.454, 3.305]",0.453582872260405,3.30534183529193,0.701685196400655,1,""
"E","IoTSimple","EXPLN_S1Trust",-0.0704688260062471,0.931956791888167,"[0.367, 2.360]",0.367258585464525,2.35977544802062,0.88071579100635,1,""
"E","IoTSimple","EXPLN_S2Untechnical",0.280825284631662,1.3242222217496,"[0.580, 3.100]",0.579889004794116,3.10048385635804,0.508303481105307,1,""
