ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_38CLhDwdJI7Ihot,90,Same,,,,,,,,,,How it actually works and what data can be changed,,,,Gen:How?,,,Scenario:Data,,,,I'm not sure how it can isolate the information. ,,Medical-Simple,IoT-Complex,Trust,Untechnical,No Prevents
R_7hsYPaPQjTS9JD9,91,nothing,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_5P61sy3XzcmcobP,92,What are the negative impacts of TEEs.,,Risk:General,,,,,,,,What are the negative impacts of this program?,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_6QrFNlk6315MGw4,93,Same,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_7Gyqz2vhaJMqk6J,94,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,No Prevents
R_3WYCN6g0GQfuf57,95,same,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Technical,Prevents
R_5TB2cF2ZNF9B0pG,96,"Such detailed information held by medical facilities, on many people, is a prime target. I sincerely doubt  I sincerely doubt a ""TEE"" manages to avoid user-caused vulnerabilities, or vulnerabilities that are discovered in any program.",Distrust:TEE,Risk:People,,,,,Scenario:Misc,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,No Prevents
R_5EpfnDySqbkv2t3,97,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,No Prevents
R_6KTx2aJaqZe4OYd,98,"I don't know why it sounds protected only now, because it can be used on future studies, seemingly of other types.",,,,,,,Scenario:Future,,,"At the time, I don't have any.",,,,,,,,,,,None.,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_3KBJdKOQqVqaafw,99,Can the information be remotely accessed? Is it possible to destroy the information as necessary? Are there protections to prevent transmitting the information? Is there training for the researchers on how to protect the data?,,Risk:General,,Gen:Features,,,Scenario:Data,Scenario:People,,Less concerned with this scenario because it does not include medical information.,,,,,,,Scenario:Positive,,,,,,Medical-Simple,IoT-Simple,Trust,Untechnical,Prevents
R_7im9qXw05tCEBSp,100,same,,,,,,,,,,"TEEs sound great at preventing my data from being snatched in a security breach, but doesn't seem to protect from the company themselves using it maliciously.",Distrust:Manufactuerer,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_7hM6p41cW0gVEQK,101,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Untechnical,Prevents
R_5jZL0lk5u7obn5j,102,Same,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_1gN3qHH3xQMASgK,103,None.,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_3egin7VRCA4miOd,104,I don't have any questions about TEEs.,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_5dBsVmnnuuvAroB,105,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_7rNerDQJf5frAZx,106,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,Prevents
R_7GDs64WpdaqIUXA,107,None,,,,,,,,,,None same,,,,,,,,,,,Great study,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_39yCzuV37FV6nYt,108,"I'm a more technical user, so I might want to know more technical details about the TEE used here. But that's certainly not necessary for the average user, obviously.",,,,Gen:How?,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_5cwTJOCzo1teN12,109,None,,,,,,,,,,,,,,,,,,,,,None,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_6kh3QCa4kpS6VSe,110,same,,,,,,,,,,"Assuming that this TEE is running on the same computer as other programs, and the computer is still connected to the network/internet, how is it any more protected than the rest of the computer?",,,,Gen:Features,Gen:How?,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_7Gkrr5qGCL6cMB2,111,same.,,,,,,,,,,None. A TEE sounds much like program sandboxing.,,,,Gen:Tech,,,,,,,"In the description you mention that the TEE can be accessed by authorized personnel. That might mean developers from similiarly minded projects. So that made some of the questions hard to answer. Also, the data could be stolen via low tech means like printing it out and taking it with you. It all depends on how security is handled. That's all my comments for now. Thanks !!",,Medical-Complex,IoT-Simple,Trust,Untechnical,Prevents
R_3nMeXGR2n1KgDxG,112,same,,,,,,,,,,How specifically does the TEE work?,,,,Gen:How?,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_3qqVGLM64xY2Fe2,113,How do you protect from hackers or ransomware attacks? What protections do you have to prevent people from copy the data and accessing on unprotected machines?,,Risk:Hacking,Risk:People,,,,,,,Nothing stored electronically is 100% safe. Same,Distrust:Vague,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
